"300 obtained, 0 missing (300 visible)",,Short URL: http://goo.gl/HxAzdJ  --  Item search: http://toukiden.surge.sh/itemsearch -- Mitama skill search: http://toukiden.surge.sh/mitamasearch -- To have your own editable checklist: File -> Make a Copy...,,,,,,,,,,,,,,,,,,,
#,Name,Obtained,New in Kiwami,Confirmed source,Type,Age,Source,Difficulty,Where to find,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12
001,Abe no Hirafu,x,,x,DEF,Yore,Harrowhalf,Normal,"C5-7, P4-15",Recovery+ (Amplify),Vitality+ (Sturdy),Stamina (Lv. 2),Vitality (Time +5s),Protection (Lv. 2),Zeal (Stock +2),Panacea (Reduce),Protection (Lv. 3),DEF Master (Lure),Tranquility,Taunt+ (Protect),Protection of Heroes
002,Abe no Seimei,x,,x,SPT,Grace,Manhunter,Normal,"C1-7, C2-6, C2-10, C2-15, P1-7, P2-3, P2-12",Notice Destroyer,Verity (Lv.1),Pursuit+ (Bolster),Fountain (Stock +1),Eruption (Reduce),Pursuit (Stock +2),Pursuit+ (Devour),Eruption (Stock +1),Knowledge (Lv.3),SPT Master (Renewal),Chain,Eruption+ (Destroy)
003,Admiral Perry,x,x,x,PLN,Chaos,Edax,Ultimate,P13-12,Affliction (Lv. 4),Stone Wall,Lovestruck,Ablution+ (Wrath),Majesty,Insight,Ablution+ (Extend),Paradox+ (Surprise),Ablution+ (Restore),Paradox+ (Destroy),Intensity (Range),Exploit (Wrath)
004,Akechi Mitsuhide,x,,x,LCK,War,Cimmerian King,Normal,"C5-18, C5-19, P5-18",Desperation,Attack up (Lv.2),Random (Stock +2),Random+ (ATK Style),Verity (Lv.2),Fortune (Stock +2),Random (Reduce),Protection of Heroes,Leech+ (Amplify),Carnage+ (Martyr),ATK Master (Hardy),Attack up (Lv.4)
005,Amakusa Shiro,x,,x,HLG,Peace,Pyropteryx,Normal,"C3-5, C3-11, P3-4, P3-7",Extinguishment,Tolerance (Lv. 2),Recovery+ (Heal),Vitality (Stock +1),Devotion,Stamina (Lv. 2),Recovery (Stock +2),Zeal (Time +10s),Renewal (Lv. 2),HLG Master (Rally),Vitality+ (Bulwark),Recovery+ (Bonus)
006,Amaterasu,x,,x,SPC,Yore,Harrowhalf,Ex,P9-14,Paradox+ (Bolster),Evasion,Paradox (Stock +1),Devotion,Barrier+ (Link),Puncture (Reduce),Stupor (Reduce),Paradox (Time +5s),Paradox (Reduce),Paradox+ (Restrain),Barrier+ (Awe),Majesty
007,Ano Yasuko,x,,x,LCK,Honor,Pale Imp,Ex,C7-16,Assertion,Heroes' Rally,Recovery+ (Blessing),Random+ (DCT Style),Protection of Heroes,LCK Master (Random),Random+ (Cautious),Random (Stock +3),Puncture+ (Accuracy),Stupor (Time +2s),Random+ (Ward),Devastation
008,Arahabaki,x,x,x,PLN,Yore,Metagnost,Ultimate,P17-16,Master Destroyer,Insight,Ablution+ (Wrath),Agitation,PLN Master (Extend),Ablution+ (Nimble),Breaker+ (Link),Intensity (Time +10s),PLN Master (Amplify),Intensity (Insight),Intensity (Amplify),Intensity (Stock +2)
009,Arai Hakuseki,x,,x,SPC,Peace,Blitzer,Normal,"C3-7, P3-1",Notice Destroyer,Recovery (Stock +1),Stamina (Lv. 2),Sanctum (Stock +3),Zeal (Time +5s),Vitality (Time +5s),Conviction,Sanctum+ (Quicken),Vitality (Reduce),Vitality+ (Zone),Panacea+ (Quicken),Recovery (Stock +3)
010,Ariwara no Narihira,x,x,x,SPT,Grace,Onyxwing,Ex,"C11-9, C11-16, C12-5, P11-5, P11-17, P12-3",Fraternity,Pursuit+ (Devour),Altruism+ (Attrib.),Spin Doctor,SPT Master (Augument),Charity,Knowledge (Absorb),Diffusion+ (Assist),Diffusion+ (Reflect),Fountain+ (Assist),Eruption+ (Raid),Introspection
011,Ashikaga Takauji,x,,x,DEF,Honor,Jollux,Ex,"C6-9, C6-14, C11-6, P6-6, P6-12",Piety,Taunt (Reduce),Sanctum+ (Hardy),Sanctum (Reduce),Paradox+ (Link),Sanctum (Time +5s),Tolerance (Lv. 3),Protection (Lv. 4),Barrier (Time +10s),DEF Master (Protect),DEF Master (Resist),Exuberance
012,Ashikaga Yoshimasa,x,,x,DCT,Honor,Umbrapod,Normal,C3-13,Affliction (Lv. 1),Alertness,Stamina (Lv. 2),Puncture (Stock +1),Verity (Lv.2),Stupor (Stock +1),Stupor (Reduce),Puncture+ (Absorb),Affliction (Lv. 3),DCT Master (Sneak),Heroes' Rally,DCT Master (Assault)
